keyword,value
superheroes,"(['2016-01-13'], 0)"
cg,"(['2016-02-24', '2016-01-13'], 42)"
style,"(['2016-01-20', '2016-04-06', '2016-12-28', '2016-02-24', '2016-03-30', '2016-02-17', '2016-02-10', '2016-01-13', '2016-03-23', '2016-04-13', '2016-04-20', '2016-06-01', '2016-06-08', '2016-02-03', '2016-06-29', '2016-05-18', '2016-03-16', '2016-03-02', '2016-04-27'], 350)"
chat,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
girls,"(['2016-04-06', '2016-07-20', '2016-04-13', '2016-03-30', '2016-02-17', '2016-04-20', '2016-01-13', '2016-06-01', '2016-06-29', '2016-07-27', '2016-07-13', '2016-10-05', '2016-05-18', '2016-03-16', '2016-12-07', '2016-11-16', '2016-06-15', '2016-07-06'], 329)"
code,"(['2016-10-12', '2016-04-13', '2016-02-10', '2016-01-13', '2016-07-13', '2016-11-02', '2016-12-07', '2016-11-30'], 329)"
gameday,"(['2016-01-13'], 0)"
glory,"(['2016-08-03', '2016-01-13'], 203)"
askridealong2,"(['2016-01-13'], 0)"
real,"(['2016-04-06', '2016-09-14', '2016-04-13', '2016-02-17', '2016-03-23', '2016-01-27', '2016-01-13', '2016-08-10', '2016-07-27', '2016-12-07', '2016-05-04', '2016-11-02', '2016-10-05', '2016-09-21', '2016-11-30', '2016-11-16'], 329)"
talk,"(['2016-10-12', '2016-12-28', '2016-08-24', '2016-09-28', '2016-02-17', '2016-02-10', '2016-01-27', '2016-01-13', '2016-03-09', '2016-03-23', '2016-04-20', '2016-07-27', '2016-10-05', '2016-04-27'], 350)"
series,"(['2016-10-26', '2016-01-13', '2016-10-12', '2016-11-02'], 294)"
roman,"(['2016-06-08', '2016-01-13'], 147)"
vs,"(['2016-09-07', '2016-04-13', '2016-03-09', '2016-01-13', '2016-05-11', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-05-25', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-12-07', '2016-11-30', '2016-04-06', '2016-04-20', '2016-08-17', '2016-02-03', '2016-09-21', '2016-07-06'], 343)"
fo,"(['2016-02-24', '2016-01-13'], 42)"
use,"(['2016-11-30', '2016-02-10', '2016-01-13'], 322)"
potus,"(['2016-08-17', '2016-01-20', '2016-02-03', '2016-01-13'], 217)"
uno,"(['2016-01-13'], 0)"
happy,"(['2016-10-12', '2016-01-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-12-21', '2016-02-17', '2016-06-08', '2016-08-10', '2016-05-04', '2016-10-05', '2016-04-27', '2016-08-24', '2016-03-23', '2016-06-22', '2016-12-28', '2016-07-20', '2016-09-14', '2016-04-20', '2016-06-01', '2016-08-17', '2016-07-06'], 350)"
birthday,"(['2016-01-20', '2016-07-20', '2016-10-12', '2016-12-28', '2016-08-24', '2016-09-14', '2016-02-17', '2016-06-08', '2016-01-13', '2016-06-01', '2016-08-10', '2016-08-17', '2016-06-22', '2016-10-05', '2016-11-23', '2016-05-11', '2016-06-15', '2016-04-27', '2016-07-06'], 350)"
title,"(['2016-08-24', '2016-09-14', '2016-09-28', '2016-01-13', '2016-05-18'], 259)"
expedia,"(['2016-10-12', '2016-08-31', '2016-04-13', '2016-01-13', '2016-07-13', '2016-11-23', '2016-05-11', '2016-10-19', '2016-02-24', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 336)"
chat,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
alex,"(['2016-07-20', '2016-08-31', '2016-02-24', '2016-02-17', '2016-02-10', '2016-01-13', '2016-03-09', '2016-03-23', '2016-06-08', '2016-07-27', '2016-08-10', '2016-11-23', '2016-08-03', '2016-09-21', '2016-03-02', '2016-04-27', '2016-12-14'], 336)"
city,"(['2016-09-07', '2016-08-31', '2016-03-09', '2016-01-13', '2016-10-19', '2016-12-21', '2016-06-29', '2016-02-17', '2016-10-26', '2016-05-25', '2016-05-04', '2016-10-05', '2016-03-02', '2016-12-14', '2016-03-23', '2016-06-22', '2016-08-03', '2016-04-06', '2016-09-28', '2016-04-20', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 343)"
specific,"(['2016-01-13'], 0)"
nfl,"(['2016-09-07', '2016-04-06', '2016-08-31', '2016-09-14', '2016-02-24', '2016-04-13', '2016-04-20', '2016-03-09', '2016-01-13', '2016-04-27'], 245)"
team,"(['2016-09-07', '2016-10-12', '2016-01-13', '2016-05-11', '2016-02-24', '2016-06-08', '2016-08-10', '2016-05-25', '2016-03-02', '2016-04-27', '2016-02-10', '2016-03-23', '2016-09-21', '2016-05-18', '2016-11-30', '2016-12-28', '2016-09-28', '2016-06-01', '2016-08-17', '2016-10-19', '2016-11-16'], 350)"
names,"(['2016-04-06', '2016-08-24', '2016-04-20', '2016-03-23', '2016-01-13', '2016-07-27', '2016-05-04', '2016-10-05'], 266)"
wish,"(['2016-09-14', '2016-09-28', '2016-06-08', '2016-04-20', '2016-01-27', '2016-01-13', '2016-06-01'], 259)"
knew,"(['2016-10-12', '2016-09-14', '2016-04-20', '2016-01-13', '2016-06-01', '2016-05-25'], 273)"
much,"(['2016-01-13'], 0)"
lfc,"(['2016-01-13'], 0)"
va,"(['2016-01-20', '2016-02-24', '2016-04-13', '2016-01-13', '2016-03-16', '2016-08-03'], 203)"
fc,"(['2016-03-16', '2016-01-13', '2016-08-31', '2016-12-21'], 343)"
ny,"(['2016-09-07', '2016-01-20', '2016-04-06', '2016-07-20', '2016-08-31', '2016-12-21', '2016-04-13', '2016-03-30', '2016-02-17', '2016-04-20', '2016-01-13', '2016-06-01', '2016-06-29', '2016-09-28', '2016-07-13', '2016-05-18', '2016-04-27', '2016-12-14'], 343)"
sos,"(['2016-08-17', '2016-01-13', '2016-08-31'], 231)"
wednesday,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
wisdom,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-06-08', '2016-10-26', '2016-08-10', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
kenedy,"(['2016-01-13'], 0)"
cuomo,"(['2016-07-20', '2016-01-13'], 189)"
ter,"(['2016-03-16', '2016-10-19', '2016-01-13'], 280)"
stegen,"(['2016-03-16', '2016-10-19', '2016-01-13'], 280)"
legionnaires,"(['2016-01-13'], 0)"
chicago,"(['2016-07-20', '2016-08-31', '2016-08-24', '2016-04-13', '2016-03-30', '2016-04-20', '2016-02-10', '2016-01-27', '2016-01-13', '2016-03-23', '2016-06-29', '2016-09-28', '2016-12-14', '2016-10-05', '2016-05-11', '2016-09-21', '2016-11-30', '2016-11-16'], 336)"
skyway,"(['2016-01-13'], 0)"
bent,"(['2016-01-20', '2016-01-13'], 7)"
eke,"(['2016-01-20', '2016-01-13'], 7)"
ken,"(['2016-10-12', '2016-03-09', '2016-01-13', '2016-03-23', '2016-06-01', '2016-02-03', '2016-03-16'], 273)"
whisenhunt,"(['2016-01-13'], 0)"
faze,"(['2016-05-25', '2016-02-10', '2016-01-13'], 133)"
munir,"(['2016-08-03', '2016-01-20', '2016-01-13'], 203)"
tim,"(['2016-09-07', '2016-08-31', '2016-08-24', '2016-12-21', '2016-04-13', '2016-09-28', '2016-02-17', '2016-01-27', '2016-01-13', '2016-08-17', '2016-07-13', '2016-11-23', '2016-10-05', '2016-09-21', '2016-11-30', '2016-04-27'], 343)"
howard,"(['2016-08-24', '2016-02-24', '2016-03-23', '2016-01-13', '2016-02-03', '2016-06-22', '2016-07-13', '2016-05-18', '2016-05-11', '2016-04-27'], 224)"
oz,"(['2016-10-19', '2016-01-13'], 280)"
il,"(['2016-07-20', '2016-02-17', '2016-10-26', '2016-01-13', '2016-06-22', '2016-03-16', '2016-10-19'], 287)"
phil,"(['2016-02-24', '2016-08-10', '2016-01-13', '2016-05-11', '2016-08-03', '2016-09-21', '2016-11-16'], 308)"
robertson,"(['2016-02-24', '2016-01-13', '2016-08-31'], 231)"
jim,"(['2016-08-31', '2016-01-13', '2016-11-02', '2016-05-11', '2016-06-29', '2016-02-17', '2016-06-08', '2016-05-25', '2016-03-16', '2016-12-14', '2016-02-10', '2016-06-22', '2016-05-18', '2016-12-07', '2016-12-28', '2016-09-14', '2016-09-28', '2016-08-17', '2016-02-03', '2016-10-19', '2016-07-06'], 350)"
simpson,"(['2016-04-06', '2016-02-24', '2016-03-30', '2016-02-10', '2016-01-13', '2016-03-09', '2016-03-23', '2016-02-03', '2016-03-16'], 84)"
joel,"(['2016-08-17', '2016-03-02', '2016-01-13', '2016-10-12'], 273)"
campbell,"(['2016-09-28', '2016-01-13', '2016-08-17', '2016-02-03', '2016-07-13', '2016-03-02', '2016-07-06'], 259)"
frank,"(['2016-02-24', '2016-06-08', '2016-01-13', '2016-11-02', '2016-09-21'], 294)"
haith,"(['2016-01-13'], 0)"
giroud,"(['2016-03-02', '2016-06-15', '2016-01-13', '2016-11-23'], 315)"
friends,"(['2016-01-20', '2016-10-12', '2016-06-08', '2016-02-10', '2016-01-13'], 273)"
reunion,"(['2016-09-07', '2016-12-21', '2016-01-13', '2016-05-18'], 343)"
lawrence,"(['2016-09-07', '2016-04-20', '2016-01-13', '2016-08-10', '2016-05-25', '2016-12-14', '2016-11-16'], 336)"
phillips,"(['2016-01-13'], 0)"
hue,"(['2016-04-06', '2016-09-14', '2016-02-24', '2016-09-28', '2016-01-13', '2016-06-01'], 259)"
jackson,"(['2016-10-12', '2016-01-13', '2016-07-13', '2016-05-11', '2016-02-24', '2016-02-17', '2016-07-27', '2016-05-04', '2016-10-05', '2016-12-14', '2016-06-22', '2016-08-03', '2016-11-30', '2016-04-06', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-09-21', '2016-11-16'], 336)"
big,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-03-09', '2016-01-13', '2016-07-13', '2016-05-11', '2016-12-21', '2016-02-17', '2016-08-10', '2016-05-25', '2016-07-27', '2016-05-04', '2016-04-27', '2016-08-24', '2016-03-23', '2016-06-22', '2016-05-18', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-04-20', '2016-02-03', '2016-07-06'], 350)"
block,"(['2016-01-13', '2016-08-10', '2016-07-27', '2016-11-30', '2016-04-27', '2016-12-14'], 336)"
cheese,"(['2016-04-13', '2016-01-20', '2016-01-13'], 91)"
day,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
self,"(['2016-09-07', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-10-19', '2016-12-21', '2016-06-29', '2016-02-24', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
ie,"(['2016-09-07', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
seb,"(['2016-09-07', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-12-21', '2016-06-29', '2016-02-24', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-08-17', '2016-02-03', '2016-10-19', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
black,"(['2016-08-31', '2016-04-13', '2016-01-13', '2016-07-13', '2016-11-23', '2016-10-19', '2016-02-24', '2016-06-29', '2016-02-17', '2016-10-26', '2016-08-10', '2016-05-25', '2016-07-27', '2016-03-16', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-08-03', '2016-11-30', '2016-04-06', '2016-07-20', '2016-09-14', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 336)"
girl,"(['2016-09-07', '2016-07-20', '2016-10-12', '2016-06-08', '2016-10-26', '2016-01-13', '2016-08-10', '2016-07-27', '2016-10-05', '2016-11-02', '2016-05-11', '2016-11-30'], 322)"
magic,"(['2016-04-06', '2016-02-03', '2016-01-13', '2016-06-01'], 140)"
al,"(['2016-09-07', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-02', '2016-02-24', '2016-06-29', '2016-02-17', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-04-27', '2016-01-20', '2016-08-24', '2016-02-10', '2016-06-22', '2016-04-06', '2016-09-14', '2016-04-20', '2016-01-27', '2016-06-01', '2016-08-17', '2016-02-03', '2016-09-21', '2016-07-06'], 294)"
jazeera,"(['2016-01-13'], 0)"
america,"(['2016-10-12', '2016-08-31', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-05-25', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-06-22', '2016-05-18', '2016-11-30', '2016-04-06', '2016-04-20', '2016-01-27', '2016-11-09', '2016-08-17', '2016-09-21', '2016-06-15', '2016-07-06'], 343)"
iwon,"(['2016-01-13'], 0)"
powerball,"(['2016-02-17', '2016-01-13'], 35)"
ghr,"(['2016-01-13'], 0)"
f,"(['2016-10-12', '2016-08-24', '2016-12-21', '2016-03-30', '2016-01-13', '2016-08-10', '2016-06-22', '2016-11-02', '2016-05-11', '2016-08-03', '2016-12-07'], 343)"
solo,"(['2016-08-03', '2016-01-13', '2016-12-14'], 336)"
pr,"(['2016-07-20', '2016-02-24', '2016-03-30', '2016-09-28', '2016-03-23', '2016-01-13', '2016-12-14'], 336)"
resusnyc16,"(['2016-01-13'], 0)"
swing,"(['2016-01-13'], 0)"
day,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
kyga16,"(['2016-03-30', '2016-02-17', '2016-03-09', '2016-01-27', '2016-01-13'], 77)"
mash,"(['2016-01-13'], 0)"
cat,"(['2016-08-31', '2016-12-21', '2016-03-30', '2016-10-26', '2016-03-09', '2016-01-13', '2016-08-10', '2016-08-17', '2016-07-13', '2016-11-23', '2016-06-15', '2016-12-28', '2016-12-14'], 350)"
chat,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
fetc,"(['2016-01-13'], 0)"
