Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VCEL,Vericel Corporation,14.8,$632.35M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vcel
VRNT,Verint Systems Inc.,49.4,$3.21B,2002.0,Technology,EDP Services,https://www.nasdaq.com/symbol/vrnt
VRSN,"VeriSign, Inc.",158.96,$19.38B,1998.0,Technology,EDP Services,https://www.nasdaq.com/symbol/vrsn
VRSK,"Verisk Analytics, Inc.",120.06,$19.77B,2009.0,Technology,EDP Services,https://www.nasdaq.com/symbol/vrsk
VBTX,"Veritex Holdings, Inc.",28.9,$698.86M,2014.0,Finance,Major Banks,https://www.nasdaq.com/symbol/vbtx
VERI,"Veritone, Inc.",10.62,$199.8M,2017.0,Technology,EDP Services,https://www.nasdaq.com/symbol/veri
VRML,"Vermillion, Inc.",0.68,$51.19M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/vrml
VRNA,Verona Pharma plc,13.1515,$172.74M,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vrna
VSAR,"Versartis, Inc.",1.4,$50.74M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vsar
VTNR,"Vertex Energy, Inc",1.81,$63.4M,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/vtnr
VRTX,Vertex Pharmaceuticals Incorporated,182.17,$46.56B,1991.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vrtx
VERU,Veru Inc.,1.82,$100.62M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/veru
VIA,Viacom Inc.,34.85,$14.04B,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/via
VIAB,Viacom Inc.,32.59,$11.32B,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/viab
VSAT,"ViaSat, Inc.",63.34,$3.77B,1996.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/vsat
VIAV,Viavi Solutions Inc.,11.32,$2.57B,,Technology,Semiconductors,https://www.nasdaq.com/symbol/viav
VICL,Vical Incorporated,1.39,$30.32M,1993.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vicl
